Category,CAL demand megawatthours,CAL demand forecast megawatthours,CAR demand megawatthours,CAR demand forecast megawatthours,CENT demand megawatthours,CENT demand forecast megawatthours,FLA demand megawatthours,FLA demand forecast megawatthours,MIDA demand megawatthours,MIDA demand forecast megawatthours,MIDW demand megawatthours,MIDW demand forecast megawatthours,NW demand megawatthours,NW demand forecast megawatthours,SE demand megawatthours,SE demand forecast megawatthours,SW demand megawatthours,SW demand forecast megawatthours,ERCO demand megawatthours,ERCO demand forecast megawatthours,ISNE demand megawatthours,ISNE demand forecast megawatthours,NYIS demand megawatthours,NYIS demand forecast megawatthours,TVA demand megawatthours,TVA demand forecast megawatthours

05/3/2019 16H EDT,26610,28608,29811,30324,27840,29290,34169,32813,87699,89299,79313,82726,39537,33497,31772,34094,7512,7864,43022,44595,12752,12700,16695,16711,19177,20307
05/3/2019 15H EDT,28540,28446,29243,29627,27858,29350,33928,32465,87974,88964,79802,82780,36919,33722,30758,33052,7195,7574,42408,44130,12814,12720,16699,16812,18980,19988
05/3/2019 14H EDT,28782,28482,28291,28632,27736,29120,32864,31570,88140,88813,79883,82265,37300,34120,29513,31681,6995,7346,41365,43281,12682,12840,16864,16907,18520,19451
05/3/2019 13H EDT,28755,28677,27169,27413,27844,28801,31810,30326,87456,88353,79562,81674,37556,34480,28086,30027,6794,7243,40589,42488,12347,12830,16977,16919,18075,18806
05/3/2019 12H EDT,28459,29031,26020,26070,27820,28701,30166,29077,86774,87488,79309,80832,38100,35003,26800,28460,6619,7253,39691,41598,12490,13020,17192,16971,17608,18062
05/3/2019 11H EDT,28317,29069,24975,24891,27536,28614,28183,27574,85958,86652,78598,79679,38131,35206,25561,26872,6650,7309,38840,40567,12789,13180,17135,16892,17089,17380
05/3/2019 10H EDT,27316,27834,23885,23697,27212,28450,26034,25318,84524,85716,77820,78406,37232,34156,24439,25312,6805,7300,38010,39392,13069,13270,16997,16633,16507,16733
05/3/2019 09H EDT,25509,25933,23025,22670,26703,28181,23876,23199,82988,84238,76790,76926,34788,31893,23454,24185,6738,7023,37353,38545,13173,13230,16677,16180,15997,16245
05/3/2019 08H EDT,23926,24519,22306,21965,25564,26687,22320,21334,80497,82729,74345,73881,32244,29375,22302,23412,6438,6639,36013,37104,12866,12930,16029,15446,15395,15664
05/3/2019 07H EDT,23828,24002,21280,20858,23844,24568,21153,20383,76274,80670,69647,68876,30899,28187,20550,22181,6197,6468,33068,34277,11866,11950,14760,14101,14316,14510
05/3/2019 06H EDT,24096,24266,19157,19081,22744,23548,19078,18497,71003,76316,65133,66296,30519,27893,19744,20542,6227,6486,31295,32777,10719,10440,13282,12790,13296,13590
05/3/2019 05H EDT,24810,25018,18067,18144,22451,23265,17986,17078,69019,69609,63385,64590,30699,28179,19886,19882,6359,6640,30910,32465,10332,9560,12451,12044,13066,13316
05/3/2019 04H EDT,25998,26019,17980,18089,22519,23313,17931,16863,68438,66010,63223,64588,31064,28818,20443,20012,6581,6883,31226,33061,10043,9260,12253,11895,13103,13405
05/3/2019 03H EDT,27333,27731,18452,18567,22767,23621,18405,17355,69316,65240,64262,65616,32239,30073,21375,20648,6618,7213,32051,34062,10087,9290,12398,12019,13530,13845
05/3/2019 02H EDT,29865,30029,19190,19387,23390,24176,19323,18153,70967,66046,66176,67456,34265,31803,22862,21665,7208,7799,33405,35738,10252,9460,12669,12335,14213,14450
05/3/2019 01H EDT,32330,32546,20437,20775,24524,25596,20679,19369,73634,67905,67800,70579,36902,33750,23181,23231,7955,8427,35825,39823,10153,9840,13153,12900,15243,15826
05/3/2019 00H EDT,33837,34037,22290,22959,26098,27084,22955,21380,77827,72337,72042,74771,38645,34888,25105,25545,8517,9058,38868,43123,10575,10580,14002,13781,16684,17254
05/2/2019 23H EDT,33187,33439,24884,25537,27487,28853,25506,23961,82860,78079,76570,79739,38433,34875,26757,28166,8733,9498,41703,46279,11672,11670,15228,15068,18319,19028
05/2/2019 22H EDT,32205,32365,27626,28183,27764,29583,27823,26639,88777,84508,79169,82812,37541,34447,28560,30659,8519,9476,43101,47519,12867,12810,16453,16300,19499,20321
05/2/2019 21H EDT,31322,31566,29309,29615,27277,29150,29317,28536,91524,90939,78685,82407,37199,34174,31421,32033,8574,9433,43366,48167,13696,13630,17148,16815,19648,20592
05/2/2019 20H EDT,30212,30745,30053,30449,27526,29835,29998,29077,91034,94749,78939,83248,37016,33801,39527,33000,8493,9185,44308,49822,13770,13650,17055,16551,19954,20847
05/2/2019 19H EDT,29329,29853,31475,31639,27779,29970,31329,29956,92472,94878,79615,84694,36739,33502,33559,34216,8253,8896,45745,50235,13662,13550,17016,16572,20574,21431
05/2/2019 18H EDT,28817,29066,31907,32186,27962,30214,32675,30910,93650,95342,79748,85569,36685,33291,31583,35124,7991,8571,46673,50507,13577,13370,17138,16775,20831,21686
05/2/2019 17H EDT,28528,28558,31840,32213,27872,30011,33479,31502,93924,96258,79649,85836,36893,33354,31420,35124,7852,8211,46770,49516,13279,13050,17220,16794,21055,21613
05/2/2019 16H EDT,28239,28200,31237,31496,27844,29972,33563,31371,93496,96018,79954,85858,37009,33630,30687,34391,7604,7953,46380,49079,13006,12890,17142,16788,20896,21376
05/2/2019 15H EDT,27989,28238,30275,30611,27796,30034,33255,31180,92741,95032,80187,85530,37340,33852,29729,33231,7033,7687,45408,47438,12925,12800,17005,16846,20510,20986
05/2/2019 14H EDT,28053,28442,29245,29512,27552,29750,32530,30411,91284,94057,79741,84711,37742,34314,28782,31751,6873,7485,44044,45744,12996,12890,16944,16940,20232,20361
05/2/2019 13H EDT,28471,28804,27929,28099,27590,29332,31120,29579,89177,92689,79396,83759,38269,34931,27633,30048,6587,7432,42563,44650,12898,12920,16885,16928,19636,19574
05/2/2019 12H EDT,28395,29207,26734,26669,27716,29163,29275,28320,87573,90731,79186,82702,38825,35465,26501,28455,6455,7448,41039,43625,13027,13030,16897,16941,18891,18774
05/2/2019 11H EDT,28360,29372,25414,25285,27584,29102,27475,27037,86031,88872,78209,81279,39068,35840,25190,26890,6490,7551,39664,42011,13144,13070,16907,16881,17960,17992
05/2/2019 10H EDT,27307,28134,24058,23900,27383,28941,25688,25357,84843,87068,77007,79815,38082,35002,23982,25414,6484,7571,38605,40805,13174,13090,16929,16636,17048,17284
05/2/2019 09H EDT,25799,26098,23136,22892,27082,28781,23818,23683,83312,84793,75805,78300,35309,32748,23455,24414,6365,7242,38449,39844,13145,13000,16680,16205,16301,16804
05/2/2019 08H EDT,24114,24470,22380,22230,26070,27333,22540,21857,81089,82874,72895,75401,32524,30255,22794,23708,6045,6838,37499,38349,12950,12920,16129,15494,15626,16246
05/2/2019 07H EDT,23837,23906,21395,21118,24238,25154,21454,20596,77007,80832,68182,70236,31042,28936,21975,22407,5894,6638,34610,35142,11943,11930,14916,14188,14504,15192
05/2/2019 06H EDT,24424,24146,19321,19293,23159,24095,19368,18841,72130,76419,64963,67242,30607,28480,20554,20655,5854,6630,33126,33289,10473,10430,13438,12849,13416,14136
05/2/2019 05H EDT,25168,24781,18306,18283,22929,23827,18289,17255,68632,69664,63183,65761,30676,28543,19940,19918,5982,6762,33058,32999,9794,9540,12629,12086,13078,13820
05/2/2019 04H EDT,25811,25659,18335,18153,23055,23929,18354,17148,67568,65752,63597,65811,31254,29173,20145,19994,6163,7003,33772,33602,9516,9220,12430,11913,13084,13931
05/2/2019 03H EDT,27436,27354,18765,18640,23399,24312,18910,17611,68254,64951,64660,66888,32443,30123,20765,20576,6492,7322,34818,34736,9544,9300,12561,12037,13507,14392
05/2/2019 02H EDT,29717,29613,19598,19458,24064,24964,19861,18314,70078,65586,66584,68888,34608,31926,21572,21526,7088,7899,36418,36612,9723,9490,12894,12370,14090,15019
05/2/2019 01H EDT,32131,32085,20823,20854,25163,25441,21448,19877,72097,67166,69221,71359,36886,33864,22581,22944,7975,8553,39166,39323,10129,9880,13397,12943,15005,16218
05/2/2019 00H EDT,33522,33452,22858,23134,26805,27194,25192,23303,75926,70020,73470,75736,38432,35117,24023,25237,8485,9123,42536,42577,10590,10630,14228,13725,16450,17729
05/1/2019 23H EDT,32637,32754,25372,25808,28414,28920,28248,26286,80718,74781,77959,80307,38299,35116,27603,28086,8837,9298,45640,45495,11604,11720,15453,15002,17940,19580
05/1/2019 22H EDT,31233,31646,28017,28582,28943,29755,31001,29375,86431,80741,80799,83384,37644,34689,28076,30813,8796,9105,47262,46765,12819,12920,16616,16236,19144,20905
05/1/2019 21H EDT,30225,30902,29571,30231,28707,29592,32877,31539,88648,86753,80174,83249,37346,34283,38099,32315,8848,9051,47564,47215,13679,13710,17355,16759,19455,21087
05/1/2019 20H EDT,29161,29957,30100,30886,28931,29913,33730,32483,87793,90092,80827,84081,37004,33878,32741,33334,8553,8800,48180,47997,13749,13700,17327,16481,19866,21304
05/1/2019 19H EDT,28612,29095,31268,32161,29107,30198,35497,33839,87952,90431,81091,85322,36738,33578,30488,34495,8117,8389,48838,48758,13557,13620,17271,16477,20207,21748
05/1/2019 18H EDT,28153,28669,31840,32683,29199,30341,36550,35062,88563,90627,81153,85859,36590,33462,34576,35199,7768,8055,49321,49128,13317,13400,17299,16611,20186,21701
05/1/2019 17H EDT,27779,28120,31808,32632,29112,30194,36879,35587,88248,90629,81036,85740,36684,33645,30802,34936,7323,7805,49541,48383,12949,12910,17116,16608,20341,21363
05/1/2019 16H EDT,27689,27873,31162,31844,28917,29997,36384,35375,87790,90080,81064,85544,36988,33850,30464,34082,6934,7627,49366,48230,12607,12510,16933,16564,20167,20921
05/1/2019 15H EDT,27477,28086,29974,30918,28734,29756,35540,34762,87694,89217,81359,85228,37042,34142,29534,32881,6650,7440,48517,46927,12489,12240,16875,16607,19900,20539
05/1/2019 14H EDT,27834,28419,28883,29682,28440,29324,34310,33567,87272,88598,80707,84459,37453,34551,28377,31421,6479,7264,47275,45833,12515,12300,16972,16717,19707,19966
05/1/2019 13H EDT,28201,28804,27508,28299,28349,29037,33055,32414,86633,87848,80174,83561,38404,35092,26949,29783,6327,7301,46012,44943,12640,12340,17068,16728,19013,19228
05/1/2019 12H EDT,28593,29158,26228,26846,28220,28702,31567,30764,85660,86698,79396,82506,39150,35693,26059,28300,6263,7353,44444,43765,12893,12540,17252,16772,18300,18547
05/1/2019 11H EDT,28474,29266,25057,25367,27905,28258,29620,29132,84674,85806,78369,81266,39612,35995,24934,26790,6275,7469,42603,42298,13081,12620,17256,16705,17380,17890
05/1/2019 10H EDT,27400,28044,23893,23926,27543,27864,27490,27372,83530,84708,77076,79980,39012,35000,24215,25386,6374,7541,41110,41128,13269,12710,17186,16527,16598,17272
05/1/2019 09H EDT,25479,26111,22893,22920,27104,27491,25559,25130,83152,83323,75756,78447,36185,32702,23745,24404,6255,7224,40334,40108,13231,12930,17019,16193,16067,16843
05/1/2019 08H EDT,23818,24512,22113,22182,25993,26395,23944,23092,81398,81958,73160,75637,33168,30207,23222,23778,5922,6820,39266,38671,13080,13020,16387,15560,15573,16241
05/1/2019 07H EDT,23313,23856,21023,20985,24213,24387,22871,21913,77303,80121,68461,70543,31594,28959,22537,22425,5758,6605,36231,35529,12190,12250,15120,14289,14377,14966
05/1/2019 06H EDT,23396,23998,19166,19096,23098,23273,20757,20007,70841,75588,65087,66929,31051,28531,21188,20591,5779,6566,34657,33616,10684,10550,13564,12931,13507,13947
05/1/2019 05H EDT,24068,24671,18194,18093,22779,22934,19612,18400,67949,68655,63805,65775,31084,28669,20453,19823,5941,6666,34376,33374,10001,9690,12713,12135,13221,13637
05/1/2019 04H EDT,25057,25614,18112,18016,22940,23023,19696,18283,67291,64744,64088,66132,31310,29104,20569,19856,6178,6839,34879,33982,9720,9440,12480,11945,13342,13710
05/1/2019 03H EDT,26647,27398,18599,18513,23332,23352,20413,18803,67888,63663,65062,67143,32600,30774,21157,20500,6581,7320,35968,35185,9728,9500,12574,12062,13714,14114
05/1/2019 02H EDT,28759,29694,19377,19348,23931,23974,21658,19867,69785,64215,66900,68820,34765,31604,21911,21525,7062,7838,37586,36972,9685,9650,12851,12367,14313,14689
05/1/2019 01H EDT,31179,32156,20639,20716,25113,25877,23509,21475,72048,65774,69509,71615,36823,33633,21559,22129,7704,8480,40019,40040,10014,10100,13327,12897,15205,16052
05/1/2019 00H EDT,32619,33562,22604,22969,26534,27532,26085,23772,76351,68598,73733,76107,38577,34922,24485,25182,8347,8988,43099,43111,10685,10680,14231,13806,16722,17574
04/30/2019 23H EDT,31802,32718,25046,25549,28136,29237,29401,26720,80691,73369,78521,80655,38617,34924,26349,28030,8545,9150,45822,46719,11775,11730,15464,15013,18394,19510
04/30/2019 22H EDT,30394,31320,27816,28178,29039,30138,32634,29798,86537,78965,81855,84334,38087,34454,28538,30689,8446,8984,47016,48269,12974,12860,16647,16171,19815,20946
04/30/2019 21H EDT,29459,30148,29498,29733,29193,29983,34881,32189,89069,84666,81450,83863,37767,34120,29528,32096,8292,8870,46715,48489,13769,13710,17311,16801,20181,21314
04/30/2019 20H EDT,28818,29205,29846,30107,29578,30360,35928,33237,87826,87209,81972,84505,37529,33842,30168,33042,8047,8638,47187,49727,13597,13800,16946,16411,20463,21521
04/30/2019 19H EDT,28859,28608,30871,31232,29692,30517,37837,34673,87949,85623,82434,85250,37361,33559,31095,34114,7730,8324,48109,50410,13295,13570,16789,16370,21027,22133
04/30/2019 18H EDT,28558,28308,31259,31752,29733,30492,38685,36058,88019,85138,82444,85347,37253,33534,31124,34824,7332,8032,48691,50468,13084,13190,16774,16465,21254,22266
04/30/2019 17H EDT,28723,28089,31168,31583,29608,30259,38928,36359,87189,85197,81903,84966,37254,33793,30711,34550,6999,7725,48609,49557,12721,12770,16712,16399,21185,21936
04/30/2019 16H EDT,28894,27937,30255,30654,29668,30082,38254,36152,86077,84773,81921,84637,37454,34047,29793,33639,6870,7561,48521,48566,12551,12510,16686,16347,20789,21371
04/30/2019 15H EDT,29346,28209,29132,29791,29601,29882,37131,35261,85432,84255,81786,84272,37650,34357,28717,32302,6678,7386,47976,47411,12723,12540,16804,16410,20157,20682
04/30/2019 14H EDT,29373,28535,27797,28390,29400,29515,35626,33599,84834,83975,81207,83535,38136,34961,27511,30706,6525,7310,46525,45684,13003,12790,16934,16508,19407,19819
04/30/2019 13H EDT,29102,28792,26163,26784,29226,29267,34085,32169,84092,83796,80261,82725,38381,35468,26064,28984,6452,7346,45292,44522,13151,12930,17115,16539,18559,18724
04/30/2019 12H EDT,29084,29204,24788,25490,28891,28828,32078,30675,83732,83177,79191,81820,39295,36095,24868,27290,6485,7502,43970,43153,13333,13160,17307,16596,17875,17872
04/30/2019 11H EDT,28820,29277,23641,23901,28481,28457,29764,29055,83306,82794,77945,80730,39973,36407,23827,25724,6384,7600,42584,41611,13518,13310,17401,16586,16925,17065
04/30/2019 10H EDT,27496,28095,22579,22811,28082,28160,27418,27031,82780,82402,76559,79703,39105,35374,22685,24316,6537,7633,41486,40659,13550,13390,17181,16425,16249,16282
04/30/2019 09H EDT,25338,26023,21771,22091,27567,27929,25171,24963,82285,81674,75512,78681,36216,32922,22122,23283,6353,7278,40794,39750,13444,13330,16869,16125,15754,15636
04/30/2019 08H EDT,23646,24370,21251,21540,26251,26667,23383,22865,80883,81254,72656,76251,33172,30313,21940,22644,5957,6872,39521,38324,13127,13020,16378,15516,15222,15090
04/30/2019 07H EDT,23121,23814,20402,20529,24170,24620,22101,21732,76759,80073,67606,70782,31472,29113,21151,21322,5764,6668,36323,35231,12087,11990,15141,14275,14180,14113
04/30/2019 06H EDT,23315,23984,18398,18324,23098,23454,19870,19612,70754,76113,63700,66730,31007,28578,19897,19564,5723,6692,34536,33469,10636,10530,13609,12852,13093,13006
04/30/2019 05H EDT,23902,24617,17363,17063,22824,23006,18818,18130,67532,69369,62432,65278,30997,28599,19262,18796,5890,6816,34179,33046,10057,9550,12745,12081,12741,12646
04/30/2019 04H EDT,24921,25586,17193,16931,22943,23068,18892,17945,66262,65276,62531,65060,31499,29105,19264,18838,6121,7043,34609,33928,9743,9340,12479,11901,12753,12801
04/30/2019 03H EDT,26568,27775,17456,17196,23242,23417,19526,18515,67010,63964,63605,65585,32566,30293,19900,19417,6452,7370,35575,34981,9713,9290,12566,11991,13222,13265
04/30/2019 02H EDT,28860,30068,18008,17725,23749,24042,20728,19467,68375,64184,65371,67269,34795,32152,20603,20373,6927,7919,37175,36897,9612,9440,12867,12255,13793,13999
04/30/2019 01H EDT,31399,32592,19025,18847,24784,24823,22775,20990,70379,65331,68281,69643,36788,34186,21712,21964,7815,8560,39655,39476,10206,9770,13406,12754,14669,14794
04/30/2019 00H EDT,32822,34076,20604,20351,26444,26439,25452,23081,73132,66946,72349,73530,38444,35557,23266,24131,8386,9085,43101,42468,10629,10430,14225,13848,16315,16103
04/29/2019 23H EDT,32203,33321,22790,22461,28021,28040,28612,26016,77524,71339,76858,78343,38469,35496,25678,26786,8669,9331,46080,45621,11464,11470,15403,15049,17964,17878
